Категория ID Наименование |Цена, ₽|
Комбо cmb-tomyum |Том ям комбо | 999
Комбо cmb-miso |Мисо комбо | 699
Комбо cmb-romantic |Романтическое комбо| 1099
Напитки boba-caramel |Карамельная классика| 349
Напитки boba-emerald |Изумрудный дракон| 349
Напитки boba-oolong |Матча улун| 399
Напитки boba-cheese |Чиз берри| 499
Напитки boba-taibei Тайбей 349
Напитки boba-sparkle Спаркл 299
|Десерты | ck-newyork |Чизкейк Нью-Йорк| 249
|Десерты | mochi-cherry |Моти Шоколад-вишня| 249
|Десерты | mochi-popcorn |Моти Карамельный попкорн| 249
|Десерты | mochi-milky |Моти Молочные тропики| 249
|Десерты | mochi-mango |Моти Клубничное манго| 249
Закуски tomyum |суп Том-ям| 449
Закуски miso |Мисо суп| 249
Закуски udon |Удон с креветками| 399
Закуски chuka |Салат Чука| 299
|Роллы и онигири| roll-philadelphia Филадельфия 499
|Роллы и онигири| roll-dragoneel |Дракон с угрём| 499
|Роллы и онигири| roll-california |Калифорния в икре| 399
|Роллы и онигири| oni-shrimp |Онигири с креветками| 199
|Роллы и онигири| oni-salmon |Онигири с лососем| 199
|Роллы и онигири| oni-crab |Онигири с крабом| 199
Сеты set-prestige |Сет Престиж| 1499
Сеты set-kilo |Кило сет| 1499
Сеты set-baked |Запечёный сет| 999
